Fecha,Unidades
1/12/2012,422
2/12/2012,1
3/12/2012,1024
4/12/2012,1175
5/12/2012,1587
6/12/2012,1783
7/12/2012,1652
8/12/2012,0
9/12/2012,0
10/12/2012,1238
11/12/2012,1583
12/12/2012,1729
13/12/2012,1827
14/12/2012,1861
15/12/2012,515
16/12/2012,0
17/12/2012,1192
18/12/2012,1789
19/12/2012,1961
20/12/2012,2101
21/12/2012,2124
22/12/2012,904
23/12/2012,0
24/12/2012,535
25/12/2012,0
26/12/2012,1206
27/12/2012,1921
28/12/2012,2418
29/12/2012,1087
30/12/2012,0
31/12/2012,68
1/1/2013,0
2/1/2013,223
3/1/2013,402
4/1/2013,884
5/1/2013,215
6/1/2013,0
7/1/2013,0
8/1/2013,623
9/1/2013,1005
10/1/2013,957
11/1/2013,1069
12/1/2013,311
13/1/2013,1
14/1/2013,766
15/1/2013,1063
16/1/2013,1007
17/1/2013,1083
18/1/2013,951
19/1/2013,248
20/1/2013,0
21/1/2013,756
22/1/2013,816
23/1/2013,998
24/1/2013,852
25/1/2013,952
26/1/2013,285
27/1/2013,0
28/1/2013,809
29/1/2013,983
30/1/2013,1178
31/1/2013,1104
1/2/2013,1064
2/2/2013,224
3/2/2013,0
4/2/2013,740
5/2/2013,885
6/2/2013,1218
7/2/2013,1150
8/2/2013,1181
9/2/2013,291
10/2/2013,1
11/2/2013,830
12/2/2013,916
13/2/2013,1076
14/2/2013,1110
15/2/2013,1265
16/2/2013,263
17/2/2013,0
18/2/2013,719
19/2/2013,1036
20/2/2013,1096
21/2/2013,1064
22/2/2013,1094
23/2/2013,324
24/2/2013,0
25/2/2013,755
26/2/2013,1119
27/2/2013,1133
28/2/2013,1311
1/3/2013,963
2/3/2013,264
3/3/2013,0
4/3/2013,677
5/3/2013,930
6/3/2013,1073
7/3/2013,1136
8/3/2013,1207
9/3/2013,354
10/3/2013,1
11/3/2013,851
12/3/2013,1065
13/3/2013,1167
14/3/2013,1223
15/3/2013,1297
16/3/2013,385
17/3/2013,0
18/3/2013,830
19/3/2013,1249
20/3/2013,1341
21/3/2013,1459
22/3/2013,1630
23/3/2013,532
24/3/2013,0
25/3/2013,0
26/3/2013,953
27/3/2013,1104
28/3/2013,14
29/3/2013,0
30/3/2013,2
31/3/2013,0
1/4/2013,588
