,Fecha,Mes,Día,Tipo de día,Día del mes,Día de la semana,Día laboral,Unidades
94,2018-04-05,4,Thursday,Semana,5,4,1,1052
95,2018-04-06,4,Friday,Semana,6,5,1,988
96,2018-04-07,4,Saturday,Semana,7,6,1,298
97,2018-04-08,4,Sunday,Domingos y festivos,8,0,0,0
98,2018-04-09,4,Monday,Semana,9,1,1,716
99,2018-04-10,4,Tuesday,Semana,10,2,1,840
100,2018-04-11,4,Wednesday,Semana,11,3,1,965
101,2018-04-12,4,Thursday,Semana,12,4,1,1090
102,2018-04-13,4,Friday,Semana,13,5,1,1037
103,2018-04-14,4,Saturday,Semana,14,6,1,347
104,2018-04-15,4,Sunday,Domingos y festivos,15,0,0,0
105,2018-04-16,4,Monday,Semana,16,1,1,838
106,2018-04-17,4,Tuesday,Semana,17,2,1,963
107,2018-04-18,4,Wednesday,Semana,18,3,1,1088
108,2018-04-19,4,Thursday,Semana,19,4,1,1213
109,2018-04-20,4,Friday,Semana,20,5,1,1142
110,2018-04-21,4,Saturday,Semana,21,6,1,396
111,2018-04-22,4,Sunday,Domingos y festivos,22,0,0,0
112,2018-04-23,4,Monday,Semana,23,1,1,961
113,2018-04-24,4,Tuesday,Semana,24,2,1,1085
114,2018-04-25,4,Wednesday,Semana,25,3,1,1210
115,2018-04-26,4,Thursday,Semana,26,4,1,1335
116,2018-04-27,4,Friday,Semana,27,5,1,1307
117,2018-04-28,4,Saturday,Semana,28,6,1,524
118,2018-04-29,4,Sunday,Domingos y festivos,29,0,0,0
119,2018-04-30,4,Monday,Semana,30,1,1,1083
120,2018-05-01,5,Tuesday,Semana,1,2,1,706
121,2018-05-02,5,Wednesday,Semana,2,3,1,843
122,2018-05-03,5,Thursday,Semana,3,4,1,1061
123,2018-05-04,5,Friday,Semana,4,5,1,987
124,2018-05-05,5,Saturday,Semana,5,6,1,297
125,2018-05-06,5,Sunday,Domingos y festivos,6,0,0,0
126,2018-05-07,5,Monday,Semana,7,1,1,704
