,Fecha,Unidades_pred
278,2012-10-05,1055
279,2012-10-06,365
280,2012-10-07,0
281,2012-10-08,838
282,2012-10-09,963
283,2012-10-10,1088
284,2012-10-11,1213
285,2012-10-12,1104
286,2012-10-13,414
287,2012-10-14,0
288,2012-10-15,0
289,2012-10-16,1086
290,2012-10-17,1210
291,2012-10-18,1335
292,2012-10-19,1267
293,2012-10-20,484
294,2012-10-21,0
295,2012-10-22,1083
296,2012-10-23,1208
297,2012-10-24,1333
298,2012-10-25,1458
299,2012-10-26,1432
300,2012-10-27,649
301,2012-10-28,0
302,2012-10-29,1206
303,2012-10-30,1331
304,2012-10-31,1455
305,2012-11-01,1124
306,2012-11-02,1047
307,2012-11-03,357
308,2012-11-04,0
309,2012-11-05,0
310,2012-11-06,934
311,2012-11-07,1059
312,2012-11-08,1184
313,2012-11-09,1095
314,2012-11-10,405
315,2012-11-11,0
316,2012-11-12,0
317,2012-11-13,1057
318,2012-11-14,1181
319,2012-11-15,1306
320,2012-11-16,1221
321,2012-11-17,454
322,2012-11-18,0
323,2012-11-19,1054
324,2012-11-20,1179
325,2012-11-21,1304
326,2012-11-22,1429
327,2012-11-23,1386
328,2012-11-24,603
329,2012-11-25,0
330,2012-11-26,1177
331,2012-11-27,1302
332,2012-11-28,1426
333,2012-11-29,1551
334,2012-11-30,1551
335,2012-12-01,355
336,2012-12-02,0
337,2012-12-03,798
338,2012-12-04,922
339,2012-12-05,1047
340,2012-12-06,1172
341,2012-12-07,1094
342,2012-12-08,0
343,2012-12-09,0
344,2012-12-10,920
345,2012-12-11,1045
346,2012-12-12,1170
347,2012-12-13,1295
348,2012-12-14,1198
349,2012-12-15,453
350,2012-12-16,0
351,2012-12-17,1043
352,2012-12-18,1167
353,2012-12-19,1292
354,2012-12-20,1417
355,2012-12-21,1363
356,2012-12-22,580
357,2012-12-23,0
358,2012-12-24,1165
359,2012-12-25,0
360,2012-12-26,1415
361,2012-12-27,1540
362,2012-12-28,1529
363,2012-12-29,746
364,2012-12-30,0
365,2012-12-31,1288
366,2013-01-01,0
